cheese,milk,country,family,type,texture,rind,color,flavor,aroma,vegetarian,vegan
Pecorino Ginepro,sheep,Italy,Pecorino,"semi-hard, artisan","chalky, grainy",natural,pale white,"fruity, savory","fruity, woody",False,False
Azeitao,sheep,Portugal,Pecorino,"semi-soft, artisan","creamy, supple",washed,pale yellow,"herbaceous, salty, sour","aromatic, floral, pronounced",True,False
Azeitao,sheep,Portugal,Pecorino,"semi-soft, artisan","creamy, supple",washed,pale yellow,"herbaceous, salty, sour",mushroom,True,False
Cinerino,sheep,Italy,Pecorino,"hard, artisan",flaky,ash coated,ivory,"grassy, herbaceous","herbal, nutty, woody",True,False
Azeitao,sheep,Portugal,Pecorino,"semi-soft, artisan","creamy, supple",washed,pale yellow,"herbaceous, salty, sour",aromatic,True,False
Pecorino Toscanello,sheep,Italy,Pecorino,semi-hard,"creamy, smooth",waxed,pale yellow,mild,nutty,False,False
Pecorino Romagnolo,sheep,Italy,Pecorino,"semi-hard, artisan","compact, crumbly",natural,ivory,"smooth, subtle",pronounced,False,False
Pecorino Gelsomino,sheep,Italy,Pecorino,"hard, artisan","crumbly, flaky",natural,ivory,"creamy, milky","aromatic, floral",False,False
Sheep Gouda,sheep,United States,Pecorino,"semi-hard, artisan","compact, crumbly, dense",natural,pale yellow,"caramel, nutty",spicy,False,False
Caws Cenarth Black Sheep,sheep,Wales,Pecorino,semi-hard,buttery,rindless,cream,nutty,"milky, sweet",False,False
Pecorino al Pepe,sheep,Italy,Pecorino,"semi-soft, artisan","compact, crumbly",natural,cream,"sharp, spicy, strong","pleasant, strong",True,False
Pecorino Romano,sheep,Italy,Pecorino,hard,"crumbly, grainy",natural,pale yellow,"salty, sharp",strong,False,False
Pecorino Toscanello,sheep,Italy,Pecorino,semi-hard,"creamy, smooth",cloth wrapped,pale yellow,mild,nutty,False,False
Cave Aged Marisa,sheep,United States,Pecorino,"semi-hard, artisan",firm,natural,pale yellow,"sweet, tangy",sweet,False,False
Classico Pecorino Senese,sheep,Italy,Pecorino,"semi-hard, artisan","buttery, compact, firm",natural,straw,sharp,"aromatic, strong",False,False
Pecorino,sheep,Italy,Pecorino,hard,creamy,rindless,pale yellow,"citrusy, lemony, mild, mushroomy, tangy","fresh, lactic, pleasant",False,False
Pecorino Querciaiolo,sheep,Italy,Pecorino,semi-soft,smooth,natural,white,"smooth, subtle",strong,False,False
Pepato,sheep,Italy,Pecorino,"semi-hard, artisan","creamy, flaky",natural,straw,"salty, spicy",spicy,True,False
Pecorino al Tartufo,sheep,Italy,Pecorino,"hard, artisan",firm,artificial,cream,"sharp, spicy","grassy, nutty",False,False
Pecorino Gran Riserva Del Passatore,sheep,Italy,Pecorino,"semi-hard, artisan",smooth,natural,white,"smooth, sweet","fresh, milky, pleasant",True,False
Cratloe Hills,sheep,Ireland,Pecorino,"hard, artisan","firm, grainy, open",plastic,pale yellow,"mild, nutty, strong, sweet","mushroom, rich, strong",True,False
Meira,sheep,Iraq,Pecorino,semi-hard,compact,rindless,pale yellow,"citrusy, strong, sweet",lactic,False,False
Berkswell,sheep,United Kingdom,Pecorino,hard,"chewy, firm",natural,pale yellow,"earthy, full-flavored, meaty, nutty",sweet,True,False
Cave Aged Marisa,sheep,United States,Pecorino,"semi-hard, artisan",firm,natural,pale yellow,"sweet, tangy",sweet,True,False
Pecorino nel fieno,sheep,Italy,Pecorino,"soft, artisan",soft,natural,pale yellow,"full-flavored, spicy",fresh,False,False
Azeitao,sheep,Portugal,Pecorino,"semi-soft, artisan","creamy, supple",washed,pale yellow,"herbaceous, salty, sour","milky, sweet",True,False
Brin d'Amour,sheep,France,Pecorino,"semi-soft, artisan","creamy, firm",washed,white,"citrusy, mild",herbal,False,False
Sheep Gouda,sheep,United States,Pecorino,"semi-hard, artisan","compact, crumbly, dense",natural,pale yellow,"caramel, nutty","aromatic, fresh",True,False
Pecorino,sheep,Italy,Pecorino,hard,creamy,washed,pale yellow,"milky, nutty, subtle, sweet",fresh,False,False
Cwmtawe Pecorino,sheep,Italy,Pecorino,hard,creamy,washed,orange,milky,aromatic,True,False
Chura Kampo,yak,"China, Tibet",Pecorino,"hard, artisan","dense, dry, firm",natural,cream,"garlicky, herbaceous, sweet",aromatic,False,False
Pecorino Pera,sheep,Italy,Pecorino,"semi-hard, artisan","crumbly, smooth",natural,ivory,"fruity, smooth, subtle, sweet","fruity, milky, sweet",False,False
Paški Sir (PDO),sheep,Croatia,Pecorino,"hard, artisan","crumbly, flaky, grainy",natural,yellow,"salty, savory, tangy",pleasant,True,False
Pecorino Nel Granaio,sheep,Italy,Pecorino,"semi-soft, artisan","creamy, crumbly, smooth, soft",natural,pale yellow,creamy,"rich, strong",True,False
P'tit Basque,sheep,France,Pecorino,"semi-hard, artisan","creamy, dry, smooth",natural,ivory,"earthy, mild, nutty, pungent, subtle, sweet","fresh, lactic, pleasant",True,False
Pecorino Romagnolo,sheep,Italy,Pecorino,"semi-hard, artisan","compact, crumbly",natural,ivory,"smooth, subtle",pronounced,True,False
Montasio Vecchio,cow,Italy,Gouda,"semi-firm, artisan",creamy,natural,yellow,sharp,strong,False,False
Benedictine,"cow, goat, sheep",United States,Gouda,"semi-hard, artisan",creamy,washed,yellow,"creamy, milky, strong, sweet",mild,False,False
Processed Smoked Gouda,cow,United States,Gouda,"semi-hard, processed",creamy,natural,straw,"creamy, mild, smokey",smokey,True,False
Blarney Castle,cow,Ireland,Gouda,semi-soft,creamy,natural,golden yellow,"smooth, tangy","clean, mild",False,False
Brimstone,cow,United States,Gouda,"semi-hard, artisan",crumbly,rindless,pale yellow,"smooth, spicy",spicy,True,False
Alverca,"goat, sheep",Portugal,Gouda,semi-hard,creamy,rindless,yellow,"mild, salty",rich,False,False
Boeren-Leidse met sleutels,cow,Netherlands,Gouda,"hard, artisan","crumbly, firm",waxed,yellow,"fruity, spicy","aromatic, rich",False,False
Moonglo,goat,United States,Gouda,"semi-hard, artisan","dense, firm, open",washed,ivory,"caramel, citrusy, fruity, nutty, sharp, tangy","aromatic, goaty",False,False
Aged Gouda,"cow, goat, sheep",Netherlands,Gouda,hard,"crumbly, crystalline, dense",waxed,yellow,"buttery, milky, smooth",rich,True,False
Coolea,cow,Ireland,Gouda,hard,firm,washed,ivory,sweet,"herbal, sweet",True,False
LaClare Farms Evalon with Fenugreek,goat,United States,Gouda,"semi-hard, artisan",creamy,natural,pale yellow,mild,goaty,True,False
Aged Gouda,"cow, goat, sheep",Netherlands,Gouda,hard,"crumbly, crystalline, dense",waxed,yellow,"fruity, savory, spicy, strong",rich,False,False
Shepsog,"cow, sheep",United States,Gouda,semi-firm,buttery,natural,yellow,"nutty, sweet","earthy, nutty, rich, sweet",False,False
Podhalanski,"cow, sheep",Poland,Gouda,"semi-hard, artisan","creamy, open",natural,pale yellow,smokey,smokey,False,False
Blarney Castle,cow,Ireland,Gouda,semi-soft,creamy,natural,golden yellow,"smooth, tangy",goaty,False,False
Crema Mexicana Agria,cow,Mexico and Caribbean,Gouda,fresh soft,"creamy, spreadable",rindless,white,"acidic, sour, tangy","aromatic, fresh",False,False
Peppercorn Gouda,cow,United States,Gouda,"semi-hard, artisan","compact, crumbly, dense",natural,yellow,"mild, nutty, sharp, spicy",fresh,True,False
Midnight Moon®,goat,Holland,Gouda,hard,"creamy, crystalline",rindless,ivory,"caramel, sweet",goaty,False,False
Picobello,cow,Netherlands,Gouda,hard,"crumbly, open",waxed,golden yellow,"caramel, nutty, sweet","buttery, fresh, grassy, smokey",False,False
Leyden,cow,Netherlands,Gouda,"semi-hard, artisan",firm,waxed,yellow,"spicy, tangy",aromatic,False,False
Benedictine,"cow, goat, sheep",United States,Gouda,"semi-hard, artisan",creamy,washed,yellow,creamy,"milky, pleasant, spicy",False,False
Sancerre,goat,France,Gouda,hard,firm,natural,ivory,"nutty, strong","aromatic, earthy, mushroom",False,False
Sancerre,goat,France,Gouda,hard,"compact, soft",natural,cream,"nutty, strong","mild, milky",False,False
Menage,"cow, goat, sheep",United States,Gouda,semi-hard,"creamy, dry, firm",waxed,ivory,"full-flavored, strong",pleasant,True,False
Sancerre,goat,France,Gouda,hard,firm,natural,white,"nutty, strong",strong,False,False
Montasio Mezzano,cow,Italy,Gouda,"semi-firm, artisan",creamy,natural,pale yellow,"full-flavored, nutty, sweet",strong,False,False
Parrano,cow,Netherlands,Gouda,"hard, artisan","creamy, firm, open, smooth",plastic,pale yellow,"buttery, creamy, nutty, savory, sweet","pungent, strong",False,False
Alverca,"goat, sheep",Portugal,Gouda,semi-hard,"creamy, smooth",natural,white,sweet,"clean, fresh",False,False
Montasio Mezzano,cow,Italy,Gouda,"semi-firm, artisan",creamy,natural,golden orange,"full-flavored, nutty, sweet",strong,False,False
Avaxtskyr,cow,Iceland,Gouda,fresh soft,elastic,natural,golden yellow,"creamy, tangy","clean, lactic",True,False
Blarney Castle,cow,Ireland,Gouda,semi-soft,creamy,natural,golden yellow,"smooth, tangy",strong,False,False
Sweet Style Swiss,cow,Switzerland,Gouda,"semi-hard, artisan","firm, supple",waxed,white,nutty,"nutty, sweet",False,False
Lamb Chopper,sheep,"Netherlands, United States",Gouda,hard,"dense, firm, smooth",waxed,ivory,"buttery, caramel, creamy, nutty, sweet","mild, sweet",True,False
Bettine Grand Cru,goat,Netherlands,Gouda,semi-hard,"crumbly, dense, firm",plastic,ivory,"spicy, strong",strong,False,False
Amarelo de Beira Baixa,"goat, sheep",Portugal,Gouda,"semi-firm, artisan",firm,waxed,yellow,acidic,"mild, milky",False,False
Bel Paese,cow,Italy,Gouda,semi-soft,"creamy, smooth",plastic,pale yellow,"buttery, mild, milky, sweet",pleasant,False,False
Baladi,"cow, goat, sheep","Lebanon, Middle East",Gouda,"fresh soft, artisan","creamy, dense, smooth",rindless,white,"buttery, mild, salty, sweet",fresh,False,False
Aged Gouda,"cow, goat, sheep",Netherlands,Gouda,hard,"crumbly, crystalline, dense",waxed,yellow,"buttery, lemony, mushroomy",rich,False,False
Stella Goat,goat,United States,Gouda,"semi-hard, artisan",crumbly,natural,cream,tangy,"mild, pleasant",True,False
Lyburn Gold,cow,"England, Great Britain, United Kingdom",Gouda,"semi-hard, artisan","creamy, open, smooth",washed,brownish yellow,nutty,rich,True,False
Baita Friuli,cow,Italy,Gouda,firm,compact,natural,pale yellow,"fruity, spicy",rich,False,False
Criffel,cow,"Scotland, United Kingdom",Gouda,"semi-hard, artisan","creamy, smooth",washed,straw,smooth,"pungent, strong",True,False
LaClare Farms Evalon,goat,United States,Gouda,"semi-hard, artisan",creamy,natural,ivory,mild,goaty,True,False
Mont Saint-Francis,goat,United States,Gouda,"semi-hard, artisan","brittle, firm, supple",washed,golden yellow,"earthy, full-flavored, strong","pungent, stinky",False,False
Amarelo de Beira Baixa,"goat, sheep",Portugal,Gouda,"semi-firm, artisan","dense, firm",rindless,yellow,acidic,"fresh, milky",False,False
Aged Gouda,"cow, goat, sheep",Netherlands,Gouda,hard,"crumbly, crystalline, dense",waxed,yellow,"fruity, mild",rich,False,False
Asiago DOP,cow,Italy,Gouda,hard,"compact, crumbly, open, smooth",natural,yellow,"full-flavored, milky, sharp",pungent,False,False
Mouse House Chilli Cheddar,cow,England,Gouda,semi-hard,creamy,waxed,golden orange,spicy,spicy,True,False
Amarelo de Beira Baixa,"goat, sheep",Portugal,Gouda,"semi-firm, artisan","crumbly, flaky",washed,yellow,acidic,"mushroom, rich, strong",False,False
Sao Jorge,cow,Portugal,Gouda,semi-hard,"chalky, crumbly, firm",natural,golden yellow,"spicy, tangy","aromatic, fresh",False,False
Bettine Grand Cru,goat,Netherlands,Gouda,semi-hard,firm,natural,straw,"spicy, strong",strong,False,False
Lyburn Gold,cow,"England, Great Britain, United Kingdom",Gouda,"semi-hard, artisan","creamy, open, smooth",washed,brownish yellow,nutty,spicy,True,False
"Cremig Extra Würzig, Bergkäse Aus Dem Schweizer Jura",cow,Switzerland,Gouda,"hard, artisan",creamy,natural,cream,"creamy, spicy",smokey,True,False
Sancerre,goat,France,Gouda,hard,"elastic, springy, stringy, supple",natural,white,"nutty, strong","clean, fresh",False,False
Meyer Vintage Gouda,cow,New Zealand,Gouda,"semi-hard, artisan",crumbly,natural,pale yellow,"nutty, sharp, spicy",aromatic,False,False
Benedictine,"cow, goat, sheep",United States,Gouda,"semi-hard, artisan",creamy,washed,yellow,"nutty, sharp, spicy","clean, floral",False,False
Sancerre,goat,France,Gouda,hard,"firm, smooth",natural,straw,"nutty, strong","earthy, grassy",False,False
Leerdammer,cow,Netherlands,Gouda,semi-hard,"creamy, open, smooth",natural,white,"mild, nutty, sweet","fresh, yeasty",True,False
Capricious,goat,United States,Gouda,"hard, artisan",creamy,mold ripened,ivory,"caramel, nutty",nutty,True,False
Legacy,cow,United States,Gouda,"semi-hard, artisan",creamy,rindless,pale yellow,creamy,aromatic,True,False
Consider Bardwell Farm Manchester,goat,United States,Gouda,"semi-hard, artisan","firm, open",natural,ivory,"nutty, tangy, woody","lactic, mushroom, woody",True,False
Benedictine,"cow, goat, sheep",United States,Gouda,"semi-hard, artisan",creamy,washed,yellow,"citrusy, mild","fruity, grassy",True,False
Maasdam,cow,Netherlands,Gouda,semi-hard,"creamy, open, supple",rindless,pale yellow,"buttery, nutty, sweet",fruity,False,False
Shoreditch Smoked,plant-based,United Kingdom,Gouda,semi-firm,"creamy, semi firm, soft, spreadable",rindless,pale yellow,"nutty, smokey , umami, yeasty","mild, nutty, smokey, yeasty",True,True
Abbaye de Belval,cow,France,Gouda,semi-hard,elastic,washed,ivory,"herbaceous, mild, milky",aromatic,False,False
Sao Jorge,cow,Portugal,Gouda,semi-hard,"chalky, crumbly, firm",natural,golden yellow,"spicy, tangy",pleasant,False,False
Beemster Aged,cow,Netherlands,Gouda,hard,"crystalline, firm, smooth",natural,yellow,"full-flavored, smooth, spicy, strong",rich,False,False
Amul Gouda,cow,India,Gouda,semi-hard,"compact, dense, firm, springy",plastic,yellow,"fruity, sweet",mild,True,False
Clonmore,goat,Ireland,Gouda,"hard, artisan","firm, open",plastic,pale yellow,"earthy, mild, milky, nutty, smooth, sweet, tangy","goaty, strong",True,False
Avaxtskyr,cow,Iceland,Gouda,fresh soft,"chewy, dense",natural,white,"acidic, smooth","rich, smokey",True,False
Sweet Style Swiss,cow,Switzerland,Gouda,"semi-hard, artisan","firm, supple",waxed,ivory,nutty,"nutty, sweet",False,False
Beemster Classic,cow,Netherlands,Gouda,semi-hard,"creamy, firm, smooth",natural,yellow,"buttery, nutty","buttery, rich",False,False
"Cremig Extra Würzig, Bergkäse Aus Dem Schweizer Jura",cow,Switzerland,Gouda,"hard, artisan",creamy,natural,cream,"creamy, spicy",grassy,False,False
Meyer Vintage Gouda,cow,New Zealand,Gouda,"semi-hard, artisan",crumbly,rindless,white,"nutty, sharp, spicy",aromatic,False,False
Boyne Valley Bán,goat,Ireland,Gouda,hard,"creamy, crumbly",natural,ivory,"earthy, full-flavored, garlicky, grassy, lemony, mushroomy, umami","barnyardy, buttery, earthy, goaty, musty",True,False
Sancerre,goat,France,Gouda,hard,"chewy, dense",natural,straw,"nutty, strong",mild,False,False
LaClare Farms Evalon with Cummin,goat,United States,Gouda,"semi-hard, artisan",creamy,natural,ivory,savory,goaty,True,False
Lyburn Gold,cow,"England, Great Britain, United Kingdom",Gouda,"semi-hard, artisan","creamy, open, smooth",washed,brownish yellow,nutty,"fresh, spicy",True,False
Alverca,"goat, sheep",Portugal,Gouda,semi-hard,"elastic, stringy",natural,orange,spicy,fresh,False,False
Abbaye de Belval,cow,France,Gouda,semi-hard,elastic,washed,ivory,"creamy, garlicky, savory",aromatic,False,False
Carrowholly,cow,Ireland,Gouda,"hard, artisan","crumbly, crystalline, firm, smooth",waxed,yellow,"acidic, crunchy, fruity, herbaceous, mild, spicy","fruity, rich",True,False
Benedictine,"cow, goat, sheep",United States,Gouda,"semi-hard, artisan",creamy,washed,yellow,sweet,"clean, fresh",True,False
Leyden,cow,Netherlands,Gouda,"semi-hard, artisan",firm,artificial,yellow,"spicy, tangy",aromatic,False,False
Montasio Mezzano,cow,Italy,Gouda,"semi-firm, artisan",creamy,natural,golden yellow,"full-flavored, nutty, sweet",strong,False,False
Sao Jorge,cow,Portugal,Gouda,semi-hard,"chalky, crumbly, firm",natural,golden yellow,"spicy, tangy","milky, pleasant",False,False
Montasio Vecchio,cow,Italy,Gouda,"semi-firm, artisan",creamy,natural,pale yellow,sharp,strong,False,False
Amarelo de Beira Baixa,"goat, sheep",Portugal,Gouda,"semi-firm, artisan","creamy, smooth",cloth wrapped,yellow,acidic,"fruity, mild, milky, nutty, rich, yeasty",False,False
Benedictine,"cow, goat, sheep",United States,Gouda,"semi-hard, artisan",creamy,washed,yellow,"creamy, garlicky, herbaceous, smooth, spicy, sweet, tangy","mushroom, spicy",False,False
Lindale,cow,United States,Gouda,"semi-soft, artisan","creamy, smooth",natural,pale yellow,"buttery, sweet",rich,False,False
Beemster Graskaas,cow,Netherlands,Gouda,semi-hard,"creamy, open, smooth",natural,yellow,full-flavored,rich,False,False
Cow's Milk Gouda,cow,United States,Gouda,"semi-hard, artisan","compact, creamy, crumbly, dense",natural,cream,"caramel, nutty","milky, pleasant",True,False
Picobello,cow,Netherlands,Gouda,hard,"crumbly, open",waxed,golden yellow,"caramel, nutty, sweet","aromatic, floral, fruity",False,False
Shtayburne Farm Monterey Jack,cow,United States,Gouda,"semi-hard, artisan","compact, creamy, soft, supple",natural,pale yellow,"creamy, garlicky, herbaceous, smooth, spicy, sweet, tangy",fresh,True,False
Leyden,cow,Netherlands,Gouda,"semi-hard, artisan",firm,washed,yellow,"spicy, tangy",aromatic,False,False
Sancerre,goat,France,Gouda,hard,"compact, crumbly, open, smooth",natural,cream,"nutty, strong","aromatic, rich",False,False
Penbryn,cow,"Great Britain, United Kingdom, Wales",Gouda,hard,"creamy, soft",natural,white,"buttery, fruity, grassy, nutty, sweet",rich,True,False
Lyburn Gold,cow,"England, Great Britain, United Kingdom",Gouda,"semi-hard, artisan","creamy, open, smooth",washed,brownish yellow,nutty,"mushroom, rich, strong",True,False
Coolea,cow,Ireland,Gouda,hard,firm,bloomy,yellow,sweet,"aromatic, rich",True,False
Sancerre,goat,France,Gouda,hard,smooth,natural,white,"nutty, strong","earthy, nutty, smokey",False,False
Sancerre,goat,France,Gouda,hard,creamy,natural,pale yellow,"nutty, strong",fresh,False,False
Abbaye de Belval,cow,France,Gouda,semi-hard,elastic,washed,ivory,"salty, smokey , strong",aromatic,False,False
Carrowholly,cow,Ireland,Gouda,"hard, artisan","crumbly, crystalline, firm, smooth",waxed,yellow,"acidic, crunchy, fruity, herbaceous, mild, spicy",strong,True,False
Sancerre,goat,France,Gouda,hard,"elastic, smooth, springy",natural,white,"nutty, strong","aromatic, nutty",False,False
Alverca,"goat, sheep",Portugal,Gouda,semi-hard,soft-ripened,washed,white,"creamy, earthy",fresh,False,False
Stella Asiago,cow,Italy,Gouda,"semi-hard, artisan","buttery, creamy, crumbly",natural,cream,"nutty, sharp, smooth, sweet","fresh, mild, rich",True,False
Carrowholly,cow,Ireland,Gouda,"hard, artisan","crumbly, crystalline, firm, smooth",waxed,yellow,"acidic, crunchy, fruity, herbaceous, mild, spicy",fresh,True,False
Sancerre,goat,France,Gouda,hard,creamy,natural,white,"nutty, strong",fresh,False,False
Montasio Mezzano,cow,Italy,Gouda,"semi-firm, artisan",creamy,natural,ivory,"full-flavored, nutty, sweet",strong,False,False
Lyburn Gold,cow,"England, Great Britain, United Kingdom",Gouda,"semi-hard, artisan","creamy, open, smooth",washed,brownish yellow,nutty,"fermented, pungent",True,False
Picobello,cow,Netherlands,Gouda,hard,"crumbly, open",waxed,golden yellow,"caramel, nutty, sweet","mushroom, rich, strong",True,False
Cow's Milk Gouda,cow,United States,Gouda,"semi-hard, artisan","compact, creamy, crumbly, dense",natural,white,"caramel, nutty",nutty,False,False
Montasio Vecchio,cow,Italy,Gouda,"semi-firm, artisan",creamy,natural,ivory,sharp,strong,False,False
Sancerre,goat,France,Gouda,hard,"creamy, firm, smooth",natural,white,"nutty, strong",earthy,False,False
Peppercorn Gouda,cow,United States,Gouda,"semi-hard, artisan","compact, crumbly, dense",natural,yellow,"mild, nutty, sharp, spicy",nutty,False,False
Montasio Vecchio,cow,Italy,Gouda,"semi-firm, artisan",creamy,natural,white,sharp,strong,False,False
Aged Gouda,"cow, goat, sheep",Netherlands,Gouda,hard,"crumbly, crystalline, dense",waxed,yellow,"mild, nutty, sharp",rich,True,False
Alverca,"goat, sheep",Portugal,Gouda,semi-hard,firm,natural,pale yellow,"acidic, herbaceous","earthy, fruity, herbal",False,False
Penamellera,"cow, goat, sheep",Spain,Gouda,"semi-hard, artisan","creamy, dense, supple",natural,pale yellow,"acidic, bitter, herbaceous","aromatic, strong",False,False
Picobello,cow,Netherlands,Gouda,hard,"crumbly, open",waxed,golden yellow,"caramel, nutty, sweet","fruity, mild, milky, nutty, rich, yeasty",True,False
Aged Gouda,"cow, goat, sheep",Netherlands,Gouda,hard,"crumbly, crystalline, dense",waxed,yellow,"nutty, smokey , umami, yeasty",rich,False,False
Aged Gouda,"cow, goat, sheep",Netherlands,Gouda,hard,"crumbly, crystalline, dense",waxed,yellow,"buttery, fruity, grassy, nutty, sweet",rich,True,False
Abbaye de Belval,cow,France,Gouda,semi-hard,elastic,washed,ivory,"creamy, meaty, mushroomy, nutty",aromatic,False,False
Bianco,cow,Germany,Gouda,semi-hard,"creamy, open, soft",natural,pale yellow,"buttery, garlicky, mild",aromatic,False,False
Aged Gouda,"cow, goat, sheep",Netherlands,Gouda,hard,"crumbly, crystalline, dense",waxed,yellow,"mild, milky",rich,False,False
Cow's Milk Gouda,cow,United States,Gouda,"semi-hard, artisan","compact, creamy, crumbly, dense",natural,yellow,"caramel, nutty",strong,True,False
Cow's Milk Gouda,cow,United States,Gouda,"semi-hard, artisan","compact, creamy, crumbly, dense",natural,white,"caramel, nutty","fruity, mild, milky, nutty, rich, yeasty",False,False
St Tola Cranberry,goat,Ireland,Gouda,"fresh soft, artisan","compact, creamy, smooth, soft",mold ripened,white,"creamy, fruity, full-flavored, sweet","fresh, fruity",False,False
Parrano,cow,Netherlands,Gouda,"hard, artisan","creamy, firm, open, smooth",plastic,pale yellow,"buttery, creamy, nutty, savory, sweet","fermented, mild, nutty",True,False
Bettine Bleu,goat,Netherlands,Gouda,semi-hard,"elastic, smooth, springy, stringy",leaf wrapped,ivory,"creamy, salty, savory",mild,False,False
St Tola Hard Cheese,goat,Ireland,Gouda,"hard, artisan","compact, crumbly, dense, smooth",waxed,cream,"nutty, sweet, tangy",fresh,False,False
Sweet Style Swiss,"cow, goat",Switzerland,Gouda,"semi-hard, artisan","firm, supple",waxed,cream,nutty,"nutty, sweet",False,False
Picobello,cow,Netherlands,Gouda,hard,"crumbly, open",waxed,golden yellow,"caramel, nutty, sweet",strong,False,False
Alverca,"goat, sheep",Portugal,Gouda,semi-hard,smooth,bloomy,ivory,"acidic, piquant, subtle, sweet","buttery, fruity, grassy, nutty, subtle",False,False
Black Betty,goat,Netherlands,Gouda,"hard, artisan",firm,waxed,white,buttery,earthy,False,False
Picobello,cow,Netherlands,Gouda,hard,"crumbly, open",waxed,golden yellow,"caramel, nutty, sweet",lactic,False,False
Bianco,cow,Germany,Gouda,semi-hard,"creamy, open, soft",natural,pale yellow,"buttery, garlicky, mild","floral, fresh, goaty, grassy",False,False
Smoked Gouda,"cow, goat, sheep",Netherlands,Gouda,hard,"buttery, crumbly",waxed,brownish yellow,"spicy, tangy",smokey,False,False
Bianco,cow,Germany,Gouda,semi-hard,"creamy, open, soft",natural,pale yellow,"buttery, garlicky, mild",smokey,False,False
Black Betty,goat,Netherlands,Gouda,"hard, artisan",firm,waxed,white,"creamy, herbaceous",aromatic,False,False
Montasio Vecchio,cow,Italy,Gouda,"semi-firm, artisan",creamy,natural,cream,sharp,strong,False,False
Leerdammer,cow,Netherlands,Gouda,semi-hard,"creamy, open, smooth",natural,white,"mild, nutty, sweet",strong,True,False
Abbaye de Belval,cow,France,Gouda,semi-hard,elastic,washed,ivory,"citrusy, lemony, salty, tangy",aromatic,False,False
Penbryn,cow,"Great Britain, United Kingdom, Wales",Gouda,hard,"creamy, gooey, runny, soft",plastic,white,"buttery, fruity, grassy, nutty, sweet","aromatic, floral, fruity",True,False
Corleggy,goat,Ireland,Gouda,"hard, artisan","creamy, crumbly",natural,cream,"mild, nutty","earthy, fruity, herbal",True,False
Avaxtskyr,cow,Iceland,Gouda,fresh soft,"compact, crumbly, flaky",washed,pale yellow,tangy,"aromatic, strong",True,False
Aged Gouda,"cow, goat, sheep",Netherlands,Gouda,hard,"crumbly, crystalline, dense",waxed,yellow,"milky, salty",rich,False,False
Abbaye de Belval,cow,France,Gouda,semi-hard,elastic,washed,ivory,"citrusy, creamy, sweet, tangy",aromatic,False,False
Meyer Vintage Gouda,cow,New Zealand,Gouda,"semi-hard, artisan",crumbly,natural,golden yellow,"nutty, sharp, spicy",aromatic,False,False
St Tola Hard Cheese,goat,Ireland,Gouda,"hard, artisan","compact, crumbly, dense, smooth",waxed,cream,"nutty, sweet, tangy","earthy, floral",False,False
Cow's Milk Gouda,cow,United States,Gouda,"semi-hard, artisan","compact, creamy, crumbly, dense",natural,yellow,"caramel, nutty",fresh,True,False
Bianco,cow,Germany,Gouda,semi-hard,"creamy, open, soft",natural,pale yellow,"buttery, garlicky, mild","nutty, smokey",False,False
Meyer Vintage Gouda,cow,New Zealand,Gouda,"semi-hard, artisan",crumbly,leaf wrapped,green,"nutty, sharp, spicy",aromatic,False,False
Alverca,"goat, sheep",Portugal,Gouda,semi-hard,"creamy, smooth",mold ripened,white,nutty,"goaty, grassy, herbal",False,False
Black Betty,goat,Netherlands,Gouda,"hard, artisan",firm,waxed,yellow,"spicy, strong",earthy,False,False
Cahill's Whiskey Cheese,cow,Ireland,Gouda,"semi-hard, artisan","creamy, soft",waxed,straw,"butterscotch, creamy","pecan, whiskey",False,False
Bettine Grand Cru,goat,Netherlands,Gouda,semi-hard,crumbly,natural,pale yellow,"spicy, strong",strong,False,False
Shtayburne Farm Monterey Jack,cow,United States,Gouda,"semi-hard, artisan","compact, creamy, soft, supple",natural,pale yellow,"creamy, garlicky, herbaceous, smooth, spicy, sweet, tangy","aromatic, garlicky, spicy, strong",False,False
Processed Smoked Gouda,cow,United States,Gouda,"semi-hard, processed",creamy,natural,straw,"creamy, mild, smokey",smokey,False,False
Blarney Castle,cow,Ireland,Gouda,semi-soft,creamy,natural,golden yellow,"smooth, tangy",musty,False,False
Black Betty,goat,Netherlands,Gouda,"hard, artisan",firm,waxed,ivory,"mushroomy, nutty","fresh, herbal, spicy, strong",False,False
Avaxtskyr,cow,Iceland,Gouda,fresh soft,"creamy, smooth",natural,cream,nutty,"clean, floral, fresh",True,False
Smoked Gouda,"cow, goat, sheep",Netherlands,Gouda,hard,"buttery, crumbly",waxed,brownish yellow,"mild, nutty, strong, sweet",smokey,False,False
Bettine Bleu,goat,Netherlands,Gouda,semi-hard,"crumbly, crystalline, flaky",bloomy,golden orange,"smokey , spicy","rich, yeasty",False,False
Meyer Vintage Gouda,cow,New Zealand,Gouda,"semi-hard, artisan",crumbly,cloth wrapped,yellow,"nutty, sharp, spicy",aromatic,False,False
Saanenkaese,cow,Switzerland,Parmesan,"hard, processed","brittle, firm",natural,pale yellow,fruity,strong,False,False
Sicilian Blend,cow,United States,Parmesan,"hard, artisan","crumbly, dry, firm",natural,pale yellow,"piquant, savory, sharp, spicy","lactic, milky",True,False
Piave Fresco,cow,Italy,Parmesan,"semi-hard, artisan","creamy, smooth",natural,ivory,"mild, milky, smooth","mild, milky, pleasant",False,False
